Entidad;Objeto;FNA;GNA;NAM;SAG;LIMa_100k_;FDC;Escala;created_us;created_da;last_edite;last_edi_1;Pais_100KR;SHAPE_STAr;SHAPE_STLe
0;Pa°s;Rep£blica de Burundi;Rep£blica;Burundi;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;2,200613798;8,081613246
0;Pa°s;Reino de BÇlgica;Reino;BÇlgica;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;3,897350854;13,49679005
0;Pa°s;Rep£blica de Benin;Rep£blica;Benin;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;9,56811218;18,10429773
0;Pa°s;Rep£blica Popular de Bangladesh;Rep£blica Popular;Bangladesh;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;12,13624647;53,18719069
0;Pa°s;Rep£blica de Bulgaria;Rep£blica;Bulgaria;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;12,40285152;21,56982398
0;Pa°s;Reino de Bahrein;Reino;Bahrein;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,050803519;1,172330827
0;Pa°s;Bosnia y Herzegovina;;Bosnia y Herzegovina;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;5,832470222;14,19158994
0;Pa°s;Rep£blica de Belar£s;Rep£blica;Belar£s;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;28,12238947;33,71345908
0;Pa°s;Reino de Bhut†n;Reino;Bhut†n;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;3,68402684;9,889869767
0;Pa°s;Rep£blica de Botswana;Rep£blica;Botswana;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;50,73934852;35,07867845
0;Pa°s;Rep£blica Centroafricana;Rep£blica;Rep£blica Centroafricana;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;50,54770191;44,63663555
0;Pa°s;Confederaci¢n Suiza;Confederaci¢n;Suiza;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;4,882228915;16,61816109
0;Pa°s;Rep£blica Popular de China;Rep£blica Popular;China;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;951,1218079;361,3815979
0;Pa°s;Rep£blica de CµÔte d'Ivoire;Rep£blica;CµÔte d'Ivoire (Costa de Marfil);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;26,28711804;36,2820401
0;Pa°s;Rep£blica del Camer£n;Rep£blica;Camer£n;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;37,9375709;46,00565851
0;Pa°s;Rep£blica Democr†tica del Congo;Rep£blica Democr†tica;Rep£blica Democr†tica del Congo;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;189,6789038;87,70139388
0;Pa°s;Rep£blica del Congo;Rep£blica;Congo;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;28,04454511;39,58354305
0;Pa°s;Rep£blica de Cabo Verde;Rep£blica;Cabo Verde;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,327783465;7,407786788
0;Pa°s;Rep£blica de Chipre;Rep£blica;Chipre;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,917022742;6,419165969
